ministry,dept,scheme,re16-17,be17-18,description
Ministry of Human Resource Development,Department of Higher Education,Central University Andhra Pradesh,132.00,160.00,A provision of..`.1.00 Cr. has been made for Central University Andhra Pradesh.
Ministry of Human Resource Development,Department of Higher Education,Commonwealth of Learning,1084.00,763.00,"COL has its Headquarters at Vancouver and, was established in 1988 by the Commonwealth Heads of Governments. It is mandated to create and widen access to opportunities for learning in the Commonwealth, by promoting cooperation between educational institutions at all levels making use of the potential of distance education."
Ministry of Human Resource Development,Department of Higher Education,e-Shodh Sindhu,160.00,310.00,"This scheme will provide funding for subscription of electronic resources in the country through the Department of Higher Education. It will provide for nearly 26,500 journals to 215 universities, 5,000 colleges and 68 institutes of national importance and other institutes."
Ministry of Human Resource Development,Department of Higher Education,"Establishment of Multi disciplinary Research Universities Including Central University of Himalayan Studies (CUHS), Creation of Centre of Excellence and National Centre for Excellence in Humanities",380.00,358.00,"This includes provision for Establishment of Multi disciplinary Research Universities Including Central University of Himalayan Studies (CUHS), Creation of Centre of Excellence and National Centre for Excellence in Humanities."
Ministry of Human Resource Development,Department of Higher Education,IIIT Andhra Pradesh,104.00,108.00,Provides for Expenditure towards IIIT Andhra Pradesh.
Ministry of Human Resource Development,Department of Higher Education,IISER Andhra Pradesh,1004.00,681.00,Provides for Expenditure towards IISER Andhra Pradesh.
Ministry of Human Resource Development,Department of Higher Education,Implementation of the IMPRINT Research Inititative,549.00,456.00,IMPRINT i.e. Impacting Research Innovation and Technology or IMPRINT is meant for adopting engineering and technology as the vehicle to addressing the societal needs and achieving national prosperity.
Ministry of Human Resource Development,Department of Higher Education,Improvement in Salary Scale of University and College Teachers,749.00,582.00,Provision has been made for meeting liability on account of financial assistance to State Governments for revision of pay scales of University and College Teachers.
Ministry of Human Resource Development,Department of Higher Education,Indian Institutes of Management,202.00,224.00,"Indian Institutes of Management were set up by the Government of India as centers of excellence with the objective of providing educational training, research and consultancy in management. The Institutes are running Post Graduate programme (PGP), Fellowship Programmes, Management Development Programmes and Organisation Based Programmes."
Ministry of Human Resource Development,Department of Higher Education,Indian Institutes of Technology,237.00,280.00,Indian Institutes of Technology have been established as Institutions of National Importance. Their main objective is to impart world- class training in engineering and technology; to conduct research in the relevant fields and for advancement of learning and dissemination of knowledge.
Ministry of Human Resource Development,Department of Higher Education,Indian National Digital Library in Engineering Science and Technology (INDEST) Consortium,1013.00,967.00,"Under the Scheme Ministry provides funds required for providing access to full- text electronic resources and bibliographic databases to centrally funded government institutions including all IITs and IISc, Bangalore and to Govt. / Govt.-aided engineering colleges/institutions. The participating institutions are getting access to selected electronic resources with support from the AICTE."
Ministry of Human Resource Development,Department of Higher Education,Indira Gandhi National Open University (IGNOU),414.00,560.00,"IGNOU was established by an Act of Parliament in 1985 to provide access to higher education to all sections of the population, especially the disadvantaged groups; to impart continuing education, to upgrade knowledge and skill; and to initiate special programmes of higher education for specific target groups like women, people living in backward regions, hilly areas etc. and to promote open and distance learning. IGNOU has contributed to the growth of State Open Universities (SOU) and, there is a distinct provision for assistance to SOU through the IGNOU, as distinct from assistance for activities of IGNOU."
Ministry of Human Resource Development,Department of Higher Education,Interest Subsidy and contribution for guarantee fund,138.00,243.00,"Since 2009-10 the Central government has provided interest subsidy during the moratorium period on educational loans taken by students with family income of less than Rs 4.5 lakh per annum. A student loan guarantee corpus would be created under the management of a Credit Guarantee Trust to guarantee against default in repayment of student loans. This will substantially protect lending institutions from student default thereby encouraging them to make more student loans. In addition, the government guarantee should reduce the rate of interest on student loans."
Ministry of Human Resource Development,Department of Higher Education,National Education Mission : Rashtriya Uchcha Shiksha Abhiyan (RUSA),479.00,414.00,"This is a Centrally Sponsored Scheme aimed at providing strategic funding to state higher and technical institutions. States will develop comprehensive state higher education plans that utilize an interconnected strategy to address issues of expansion, equity and excellence together. Central funding will be linked to academic, administrative and financial reforms of state higher education. This also includes the provision for Support to Polytechnics."
Ministry of Human Resource Development,Department of Higher Education,National Initiative for Design Innovation,267.00,326.00,"Setting up of 20 new Design Innovation Centres, One Open Design School and National Design Innovation Network and linking them together. ODS would ensure maximum reach through collaborative education programmes. NDIN would be network of design schools to further reach and access of design education and raise standards of design education and innovation in the country."
Ministry of Human Resource Development,Department of Higher Education,National Initiative for Excellence in Humanities and Social Sciences,445.00,436.00,"This initiative is to encourage bright students to choose programmes in humanities and also to improve its quality of teaching and research. The Councils that have been covered under the Scheme are Indian Council of Historical Research (ICHR), Indian Institute of Advance Study (IIAS) Shimla, Indian Council of Philosophical Research (ICPR) New Delhi, Project of History of Indian Science, Philosophy & Culture (PHISPC), National Council Rural Institutes (NCRI), Indian Council of Social Science Research (ICSSR), New Delhi."
Ministry of Human Resource Development,Department of Higher Education,National Initiative for Technology Transfer,84.00,97.00,"Under this initiative, special efforts
would be made to strengthen international research linkages and involve a larger number of Indian institutions in forging such links with industry through a framework of research parks for collaborative and joint research programmes."
Ministry of Human Resource Development,Department of Higher Education,National Initiative on Sports and Wellness,172.00,230.00,"This scheme aims to include fitness and wellness programmes in higher education, encourage including physical education as general institutional requirement, raising participation in sports from 2 to 10 percent, creation of departments for physical education, sports infrastructure, establishing inter disciplinary research centers and creation of information network on sports."
Ministry of Human Resource Development,Department of Higher Education,"National Institute of Industrial Engineering, Mumbai",186.00,290.00,"The National Institute of Industrial Engineering (NITIE), Mumbai was established as a National Institute in 1963 by the Government of India with the assistance of UNDP through the International Labour Organisation (ILO). NITIE has also been recognized as a Quality Improvement Programme Centre."
Ministry of Human Resource Development,Department of Higher Education,National Institutes of Technology,983.00,980.00,"Main functions of National Institutes of Technology are proper planning and coordinated development of the technical education system throughout the country, promotion of qualitative improvements of such education in relation to planned quantitative growth and regulation and proper maintenance of norms and standards in the technical education system."
Ministry of Human Resource Development,Department of Higher Education,National Mission in Education through ICT,380.00,402.00,The National Mission on Education through Information and Communication Technology (NMEICT) has been envisaged as a Centrally Sponsored Scheme to leverage the potential of ICT.
Ministry of Human Resource Development,Department of Higher Education,National Mission on Teachers and Teaching,1094.00,864.00,This includes provision for Support for National mission on Teachers and Teaching and National Institutes of Technical Teachers Training & Research (NITTTRs).
Ministry of Human Resource Development,Department of Higher Education,New Schools of Planning & Architecture,357.00,262.00,The Schools of Planning and Architecture are considered as a premier institution of its kind in the country and among the very institutions in the world offering specialized education in design and development of human settlements in all its aspects.
Ministry of Human Resource Development,Department of Higher Education,Promotion of Indian Languages,695.00,783.00,"This includes provision for Grants for promotion of Indian Languages, Directorate of Hindi, Commission for Scientific and Technical Terminology (CSTT), Central Institute of Indian Languages (CIIL) & National Initiative for Quality Higher Education in Indian Languages."
Ministry of Human Resource Development,Department of Higher Education,Scholarship for College and University Students,1222.00,989.00,"This Scheme under Central Sector provide scholarship to 2% of the students passing out of schools every year for pursuing higher studies in Colleges and University system. The scholarship amount is disbursed directly to the beneficiaries through e-banking, to avoid delays."
Ministry of Human Resource Development,Department of Higher Education,Scholarship to Students from Non-Hindi Speaking States/ UTs and other scholarships,459.00,495.00,"The Scheme of Scholarship to Students from Non-Hindi Speaking States for Post-Matric studies in Hindi is being implemented with the objective to encourage the study of Hindi in Non-Hindi speaking states and to make available to the Governments of these States, suitable personnel to man teaching and other posts where knowledge of Hindi is essential. Under the scheme scholarships are provided to meritorious students studying at post-matric to post-graduate level."
Ministry of Human Resource Development,Department of Higher Education,Setting up Indian Institutes of Information Technology in PPP mode,591.00,510.00,"Looking to the demand of IT professionals, more Indian Institutes of Information Technology (IIIT) have been set up on Public Private Partnership basis."
Ministry of Human Resource Development,Department of Higher Education,"Setting up of Inter Institutional Centres, Creation of Excellence Clusters and Network, Establishing Alliances across Institutions",1003.00,966.00,"This includes provision for Setting up of Inter Institutional Centers, Creation of Excellence Clusters and Network, Establishing Alliances Across Institutions."
Ministry of Human Resource Development,Department of Higher Education,Setting up Virtual Classrooms and Massive Open Online Courses (MOOCs),639.00,890.00,"Virtual classrooms under SWAYAM and MOOCs are newer forms of technology enabled learning which help to broad-base quality education across all geographical regions. Massive Open Online Courses (MOOCs) have emerged as an inexpensive mechanism for offering quality education online, to a very large number of learners. The benefits of quality faculty, teaching excellent courses in top institutions, can be transmitted with the help of virtual classrooms and online courses to students & faculty across all institutions irrespective of their physical location thereby making education truly seamless and borderless. Specifically for India, given the urgent need to reach out to millions of aspiring learners, MOOCs and use of the virtual classroom mode will be helpful, both in higher and vocational education. SWAYAM is being built as an IT platform to upload 2,000 lectures given by best teachers covering school to post-graduate levels. It will be providing high quality instructions to nearly 3 Cr. students."
Ministry of Human Resource Development,Department of Higher Education,Support to Indian Institute of Science (IISc) and Indian Institutes of Science for Education and Research (IISER),152.00,277.00,The provision is for Indian Institute of Science (IISc) and Indian Institutes of Science for Education and Research (IISER).
Ministry of Human Resource Development,Department of Higher Education,"Support to Indian Institutes of Information Technology (Allahabad, Gwalior, Jabalpur & Kanchipuram)",539.00,669.00,"This provides funds for Indian Institute of Information Technology (Allahabad, Gwalior, Jabalpur & Kanchipuram)."
Ministry of Human Resource Development,Department of Higher Education,Technical Education Quality Improvement Programme of Government of India (EAP),530.00,659.00,This is a World Bank funded project having activities for (i) Development of academic excellence Net-working Engineering Institution (iii) Developing Management Capacity under the Central Sector.
Ministry of Human Resource Development,Department of Higher Education,Training and Research in Frontier Areas,580.00,517.00,"It is proposed to establish centers of excellence for advanced training and research in the frontier areas including biotechnology, bioinformatics, nano-materials, nano-technologies, mechatronics, higher performance computing engineering/industrial design, professional/business ethics, and skills development."
Ministry of Human Resource Development,Department of Higher Education,Uchhatar Avishkar Abhiyan,542.00,678.00,"For promotion of innovation, All the IITs have been encouraged to work with the industry to identify areas where innovation is required and come up with solutions that could be brought up to the commercialization level. For this purpose, it is proposed to launch a scheme Uchhatar Aavishkar Abhiyan by investing on identified projects proposed by IITs and NITs. Participation of industry in part-funding the project would be mandatory."
Ministry of Human Resource Development,Department of Higher Education,University Grants Commission (UGC),612.00,595.00,"Central Universities are autonomous bodies established with a view to create and disseminate knowledge by providing research and instructional facilities, by providing interdisciplinary studies, and innovation in teaching - learning process."
Ministry of Human Resource Development,Department of Higher Education,Unnat Bharat Abhiyan,14.00,15.00,The Mission of Unnat Bharat Abhiyan is to enable higher educational institutions to work with the people in rural India in identifying development challenges and evolving appropriate solutions for accelerating sustainable growth. It also aims to create a virtuous cycle between society and an inclusive academic system by providing knowledge and practices for emerging professions and to upgrade the capabilities of both the public and the private sectors in responding to the development needs of rural India.
Ministry of Human Resource Development,Department of School Education and Literacy,Central Tibetan Schools Administration (CTSA),609.00,607.00,This is the scheme description
Ministry of Human Resource Development,Department of School Education and Literacy,Development of Minorities - Education Scheme for Madrasas/Minorities,78.00,107.00,.The Scheme seeks to bring about quality improvement in Madrasas to enable Muslim children to attain standards of the National Education System in formal Education Subject
Ministry of Human Resource Development,Department of School Education and Literacy,Digital India e-learning,762.00,826.00,This is a new scheme aimed at catering to the digital initiatives of Department of School Education & Literacy.
Ministry of Human Resource Development,Department of School Education and Literacy,Kendriya Vidyalaya Sangathan (KVS),492.00,432.00,This is the scheme description
Ministry of Human Resource Development,Department of School Education and Literacy,National Award to Teachers,645.00,498.00,Teachers needing awarding!
Ministry of Human Resource Development,Department of School Education and Literacy,National Bal Bhawan,636.00,562.00,This is the scheme description
Ministry of Human Resource Development,Department of School Education and Literacy,National Council of Educational Research & Training (NCERT),407.00,336.00,This is the scheme description
Ministry of Human Resource Development,Department of School Education and Literacy,National Education Mission - Rashtriya Madhyamik Shiksha Abhiyan (RMSA),631.00,766.00,"As a follow up to the implementation of the Sarva Shiksha Abhiyan (SSA) leading to a massive increase in the number of students completing upper primary level, it has been felt necessary to meet the increased demand for access to Secondary Education. Accordingly a new scheme Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched in March, 2009 and the implementation of the scheme commenced in 2009-10."
Ministry of Human Resource Development,Department of School Education and Literacy,National Education Mission - Sarva Shiksha Abhiyan,64.00,92.00,"Sarva Shiksha Abhiyan (SSA) is a flagship programme of Government of India being implemented in partnership with the States/UT Governments for universalisation of elementary education in the country. The SSA covers all districts in the country in order to ensure access, retention and quality improvement in elementary education."
Ministry of Human Resource Development,Department of School Education and Literacy,National Education Mission - Teachers Training,810.00,783.00,Teachers needing training!
Ministry of Human Resource Development,Department of School Education and Literacy,National Means-cum-Merit Scholarship Scheme,530.00,876.00,This is the scheme description
Ministry of Human Resource Development,Department of School Education and Literacy,National Programme of Mid Day Meals in Schools,731.00,892.00,"With a view to enhancing enrolment, retention and attendance and simultaneously improving nutritional levels among children, the National Programme of Nutritional Support to Primary Education was launched as a centrally sponsored scheme on 15th August 1995, initially in 2408 blocks in the country. Gradually, it has been expanded to cover children at primary level in all Blocks in the country. In October 2007 the scheme was further revised to cover children in upper primary level (Classes VI to VIII) in 3479 educationally backward blocks. From 2008-09 onwards the programme covers all children studying in class I to VIII in all areas across the country."
Ministry of Human Resource Development,Department of School Education and Literacy,National Scheme for Incentive to the Girl Child for Secondary Education,46.00,37.00,This is the scheme description
Ministry of Human Resource Development,Department of School Education and Literacy,Navodaya Vidyalaya Samiti (NVS),694.00,1000.00,This is the scheme description
Ministry of Human Resource Development,Department of School Education and Literacy,Saakshar Bharat,57.00,87.00,This is the scheme description
